rep_id,rep_name,segment,hire_date,termination_date,period,active_months,fully_ramped_months,months_since_hire_at_period_end,eligible_quota,credited_bookings,attainment,terminated_in_period
REP-047,Jian Ivanov,Mid-Market,2025-02-09,2025-10-31,FY2025,9,5,9,541666.6666666666,486806.16,0.8987190646153846,true
REP-047,Jian Ivanov,Mid-Market,2025-02-09,2025-10-31,TTM_2026_06,4,4,9,333333.3333333333,288176.60,0.8645298,true
REP-048,Wren Yamamoto,SMB,2025-04-02,,FY2025,9,5,9,379166.6666666666,70145.80,0.1849999120879121,false
REP-048,Wren Yamamoto,SMB,2025-04-02,,TTM_2026_06,12,11,15,685416.6666666667,123333.42,0.17993933617021274,false
REP-049,Leila Ostrander,Mid-Market,2025-04-02,2026-02-28,TTM_2026_06,8,7,11,645833.3333333333,942175.73,1.4588527432258065,true
REP-049,Leila Ostrander,Mid-Market,2025-04-02,2026-02-28,FY2025,9,5,9,541666.6666666666,891218.28,1.6453260553846156,false
REP-050,Rosalind Ashcombe,Mid-Market,2025-10-03,2026-06-30,TTM_2026_06,9,5,9,541666.6666666666,409866.90,0.756677353846154,true
REP-050,Rosalind Ashcombe,Mid-Market,2025-10-03,2026-06-30,FY2025,3,0,3,62500.0,14610.54,0.23376864000000003,false
REP-051,Imani Thornbury,Mid-Market,2026-02-23,,TTM_2026_06,5,1,5,208333.3333333333,168045.42,0.8066180160000002,false
REP-052,Yuki Abernathy,Mid-Market,2026-03-09,,TTM_2026_06,4,0,4,125000.0,59669.56,0.47735647999999997,false
REP-053,Finnian Ivanov,Enterprise,2026-04-19,,TTM_2026_06,3,0,3,58333.333333333336,0.00,0.0,false
